LYLTY_CARD_NBR,stores,purchases,products,mean_of_products,mean_of_sales,min_of_size,max_of_size,brands,lifestage,min_of_days_difference,max_of_days_difference,type_of_customer,Cluster_KMeans
1074,1,1,1,1.0,2.6,150,150,1,7,163.0,163.0,2.0,2
1076,1,1,1,1.0,2.6,150,150,1,1,45.0,45.0,2.0,4
1077,1,1,1,2.0,4.6,150,150,1,5,45.0,45.0,1.0,3
1080,1,3,3,1.0,2.6333333333333333,175,200,2,7,12.0,212.0,2.0,2
1081,1,4,4,1.25,4.1,150,300,4,4,14.0,276.0,2.0,0
1086,1,2,2,1.0,3.25,110,150,2,1,137.0,239.0,2.0,4
1087,1,2,2,1.0,3.7,175,175,2,7,81.0,340.0,1.0,3
1088,1,1,1,1.0,3.8,110,110,1,1,285.0,285.0,2.0,4
1089,1,1,1,1.0,3.0,165,165,1,7,99.0,99.0,3.0,2
1090,1,1,1,1.0,3.0,165,165,1,6,64.0,64.0,2.0,2
1091,1,1,1,2.0,4.2,175,175,1,3,145.0,145.0,2.0,4
1093,1,1,1,2.0,3.4,90,90,1,7,186.0,186.0,1.0,3
1094,1,3,3,1.3333333333333333,5.0,134,165,3,3,81.0,252.0,2.0,4
1095,1,1,1,1.0,3.0,175,175,1,7,171.0,171.0,3.0,2
1096,1,1,1,1.0,3.7,134,134,1,5,363.0,363.0,1.0,3
1097,1,3,3,1.3333333333333333,5.166666666666667,90,175,3,7,56.0,215.0,2.0,2
1099,1,2,2,1.0,3.1,170,190,2,5,125.0,263.0,1.0,3
1101,1,1,1,1.0,3.0,165,165,1,7,348.0,348.0,3.0,2
1102,1,1,1,1.0,2.1,175,175,1,6,345.0,345.0,2.0,2
1103,1,1,1,1.0,2.9,170,170,1,6,116.0,116.0,2.0,2
1104,1,4,4,1.25,5.675000000000001,110,380,4,7,38.0,292.0,3.0,0
1105,1,1,1,1.0,2.1,175,175,1,7,94.0,94.0,1.0,3
1107,1,1,1,1.0,2.9,170,170,1,5,356.0,356.0,3.0,2
1108,1,1,1,1.0,2.6,150,150,1,7,68.0,68.0,3.0,2
1109,1,1,1,1.0,2.9,170,170,1,5,195.0,195.0,3.0,2
1111,1,1,1,2.0,4.2,175,175,1,7,269.0,269.0,1.0,3
1113,1,1,1,1.0,4.4,170,170,1,1,96.0,96.0,3.0,1
1114,1,3,3,1.3333333333333333,3.4333333333333336,150,300,3,6,284.0,308.0,1.0,3
1115,1,1,1,2.0,6.0,175,175,1,7,81.0,81.0,1.0,3
1116,1,3,3,1.3333333333333333,6.166666666666667,134,380,3,5,74.0,283.0,1.0,3
1117,1,1,1,1.0,5.1,300,300,1,5,117.0,117.0,3.0,2
1118,1,3,3,1.3333333333333333,3.1,150,190,2,7,54.0,351.0,3.0,0
1120,1,1,1,1.0,4.4,170,170,1,1,280.0,280.0,3.0,1
1121,1,2,2,1.0,2.45,175,200,2,5,49.0,299.0,1.0,3
1122,1,1,1,2.0,7.4,134,134,1,5,326.0,326.0,2.0,2
1123,1,1,1,1.0,1.9,200,200,1,4,146.0,146.0,3.0,2
1124,1,2,2,1.0,2.25,175,300,2,7,3.0,199.0,3.0,0
1125,1,1,1,2.0,5.8,170,170,1,5,230.0,230.0,1.0,3
1127,1,1,1,1.0,2.1,125,125,1,7,67.0,67.0,3.0,2
1133,1,1,1,1.0,2.7,150,150,1,2,107.0,107.0,2.0,4
1134,1,3,3,1.0,3.4333333333333336,170,175,2,7,35.0,272.0,3.0,2
1136,1,1,1,1.0,2.1,175,175,1,6,148.0,148.0,2.0,2
1137,1,1,1,1.0,2.6,300,300,1,4,300.0,300.0,1.0,3
1139,1,2,2,1.0,3.05,165,200,2,5,5.0,86.0,1.0,3
1140,1,1,1,2.0,8.8,170,170,1,7,356.0,356.0,3.0,2
1141,1,2,2,1.0,3.8,110,110,2,1,209.0,296.0,3.0,1
1142,1,2,2,1.5,4.300000000000001,175,175,2,6,69.0,300.0,1.0,3
1143,1,1,1,1.0,2.6,300,300,1,6,308.0,308.0,2.0,2
1146,1,4,4,1.25,2.7,110,300,3,1,37.0,267.0,1.0,4
1147,1,1,1,1.0,5.4,175,175,1,3,323.0,323.0,1.0,4
1149,1,1,1,1.0,2.6,150,150,1,2,60.0,60.0,3.0,1
1150,1,4,4,1.25,3.95,150,330,4,1,77.0,260.0,2.0,4
1152,1,1,1,1.0,2.6,300,300,1,7,114.0,114.0,2.0,2
1155,1,2,2,1.5,6.6,165,300,2,5,191.0,349.0,2.0,0
1156,1,1,1,1.0,3.7,134,134,1,7,287.0,287.0,1.0,3
1158,1,1,1,1.0,2.1,175,175,1,5,142.0,142.0,3.0,2
1159,1,4,4,1.0,4.7250000000000005,134,380,4,1,56.0,285.0,3.0,1
1161,1,1,1,1.0,3.7,134,134,1,1,301.0,301.0,3.0,1
1163,1,2,2,1.0,4.2,175,175,2,1,143.0,317.0,3.0,1
1164,1,2,2,1.0,3.25,110,150,2,1,120.0,174.0,3.0,1
1165,1,1,1,1.0,3.0,175,175,1,1,44.0,44.0,2.0,4
1168,1,1,1,2.0,8.8,175,175,1,1,112.0,112.0,1.0,4
1169,1,2,2,1.5,4.4,165,165,2,3,163.0,329.0,2.0,4
1170,1,1,1,2.0,10.2,300,300,1,6,141.0,141.0,3.0,2
1171,1,1,1,1.0,2.6,150,150,1,7,259.0,259.0,3.0,2
1172,1,1,1,2.0,6.0,175,175,1,6,248.0,248.0,3.0,2
1173,1,4,4,1.25,2.775,175,300,3,7,189.0,308.0,3.0,0
1174,1,2,2,2.0,7.1,110,190,2,5,135.0,265.0,2.0,2
1177,1,1,1,1.0,3.7,134,134,1,1,12.0,12.0,3.0,1
1178,1,1,1,1.0,4.2,165,165,1,7,252.0,252.0,3.0,2
1179,1,4,4,1.25,5.175,170,300,4,1,34.0,195.0,3.0,1
1181,1,1,1,1.0,1.9,160,160,1,1,285.0,285.0,1.0,4
1182,1,2,2,1.5,5.2,134,175,2,1,195.0,290.0,2.0,4
1183,1,2,2,1.5,4.2,70,165,2,1,200.0,312.0,2.0,4
1184,1,1,1,1.0,3.8,110,110,1,4,217.0,217.0,2.0,2
1186,1,2,2,1.0,1.7999999999999998,90,200,2,3,219.0,242.0,2.0,4
1187,1,1,1,2.0,5.4,150,150,1,2,326.0,326.0,2.0,4
1188,1,2,2,1.5,4.6,160,175,2,7,336.0,352.0,3.0,2
1189,1,2,2,1.0,2.7,150,150,1,7,147.0,293.0,2.0,2
1190,1,1,1,1.0,4.6,150,150,1,6,39.0,39.0,2.0,2
1191,1,1,1,1.0,5.7,330,330,1,1,13.0,13.0,3.0,1
1192,1,2,2,1.5,4.2,150,165,1,1,111.0,298.0,2.0,4
1193,1,1,1,1.0,4.3,250,250,1,1,81.0,81.0,3.0,1
1196,1,1,1,2.0,10.8,175,175,1,2,298.0,298.0,1.0,4
1197,1,1,1,1.0,5.7,330,330,1,7,49.0,49.0,1.0,3
1199,1,1,1,1.0,1.8,190,190,1,7,242.0,242.0,3.0,2
1201,1,1,1,1.0,3.0,175,175,1,5,290.0,290.0,3.0,2
1202,1,2,2,1.0,5.550000000000001,175,330,2,2,139.0,158.0,1.0,4
1203,1,1,1,2.0,11.4,330,330,1,6,310.0,310.0,3.0,2
1205,1,2,2,1.0,3.55,110,175,2,7,122.0,177.0,1.0,3
1206,1,3,3,1.0,4.333333333333333,150,330,3,3,138.0,348.0,3.0,1
1209,1,1,1,1.0,2.7,150,150,1,4,324.0,324.0,1.0,3
1210,1,1,1,1.0,2.7,150,150,1,1,347.0,347.0,3.0,1
1211,1,1,1,1.0,4.4,170,170,1,5,180.0,180.0,1.0,3
1212,1,2,2,1.0,3.4,175,300,2,3,151.0,154.0,3.0,1
1216,1,1,1,1.0,2.1,175,175,1,6,337.0,337.0,3.0,2
1218,1,1,1,1.0,3.8,110,110,1,5,17.0,17.0,2.0,2
1219,1,1,1,1.0,6.5,380,380,1,5,61.0,61.0,1.0,3
1223,1,2,2,1.0,2.55,125,165,2,5,196.0,324.0,3.0,2
1224,1,3,3,1.3333333333333333,4.166666666666667,110,170,2,4,95.0,302.0,3.0,1
1225,1,1,1,1.0,1.9,200,200,1,1,282.0,282.0,2.0,4
1226,1,1,1,1.0,4.6,150,150,1,6,264.0,264.0,2.0,2
1228,1,2,2,1.0,3.65,175,250,2,4,295.0,330.0,3.0,2
1229,1,4,4,1.5,6.35,134,330,3,1,146.0,234.0,1.0,4
1232,1,2,2,1.5,5.95,175,380,1,7,78.0,93.0,3.0,0
1233,1,3,3,1.6666666666666667,7.166666666666667,170,200,3,2,170.0,364.0,3.0,1
1235,1,1,1,1.0,3.0,175,175,1,6,9.0,9.0,2.0,2
1236,1,1,1,2.0,7.8,150,150,1,4,274.0,274.0,3.0,2
1238,1,1,1,1.0,3.7,134,134,1,5,266.0,266.0,1.0,3
1239,1,1,1,1.0,3.7,134,134,1,6,93.0,93.0,3.0,2
1240,1,3,3,1.0,2.8333333333333335,110,150,3,5,67.0,170.0,1.0,3
1241,1,2,2,1.5,4.25,175,200,2,7,118.0,273.0,3.0,2
1242,1,2,2,1.0,1.7999999999999998,90,200,2,5,28.0,194.0,2.0,2
1243,1,1,1,1.0,5.4,175,175,1,2,84.0,84.0,2.0,4
1244,1,1,1,2.0,7.6,110,110,1,7,0.0,0.0,2.0,2
1246,1,1,1,1.0,3.8,110,110,1,1,351.0,351.0,3.0,1
1247,1,2,2,1.0,3.5500000000000003,150,175,2,7,179.0,285.0,1.0,3
1248,1,1,1,1.0,2.6,150,150,1,7,33.0,33.0,2.0,2
1250,1,1,1,1.0,2.9,170,170,1,6,113.0,113.0,2.0,2
1254,1,2,2,2.0,6.3999999999999995,150,190,2,7,148.0,265.0,2.0,2
1256,1,3,3,1.3333333333333333,4.533333333333334,160,175,3,2,30.0,344.0,3.0,1
1257,1,2,2,1.0,4.65,150,175,2,4,77.0,340.0,3.0,1
1259,1,1,1,1.0,6.5,380,380,1,2,335.0,335.0,1.0,4
1262,1,3,3,1.3333333333333333,4.933333333333334,165,270,3,7,21.0,165.0,1.0,3
1263,1,3,3,1.0,4.5,134,380,3,1,111.0,256.0,2.0,4
1266,1,1,1,1.0,3.8,110,110,1,5,173.0,173.0,3.0,2
1267,1,1,1,1.0,3.7,134,134,1,1,148.0,148.0,3.0,1
1270,1,2,2,1.0,3.6999999999999997,150,165,2,7,213.0,317.0,2.0,2
1272,1,1,1,1.0,3.0,175,175,1,5,8.0,8.0,1.0,3
1273,1,1,1,2.0,7.4,134,134,1,1,258.0,258.0,3.0,1
1274,1,1,1,2.0,7.6,110,110,1,7,81.0,81.0,3.0,2
1275,1,1,1,1.0,4.3,250,250,1,7,149.0,149.0,3.0,2
1276,1,1,1,1.0,2.7,150,150,1,4,39.0,39.0,3.0,2
1277,1,2,2,1.0,2.8,175,220,2,5,30.0,223.0,1.0,3
1278,1,3,3,1.0,4.2,110,270,3,3,212.0,305.0,3.0,1
1280,1,2,2,1.5,5.7,175,175,2,5,248.0,305.0,2.0,2
1281,1,1,1,1.0,2.7,150,150,1,6,103.0,103.0,2.0,2
1282,1,1,1,1.0,2.7,150,150,1,1,318.0,318.0,2.0,4
1283,1,1,1,1.0,1.9,160,160,1,6,336.0,336.0,2.0,2
1284,1,1,1,1.0,3.0,175,175,1,2,327.0,327.0,3.0,1
1285,1,1,1,1.0,5.9,380,380,1,1,163.0,163.0,3.0,1
1286,1,2,2,1.5,4.15,165,220,2,1,120.0,128.0,3.0,1
1287,1,1,1,2.0,9.2,270,270,1,7,279.0,279.0,3.0,2
1288,1,3,3,1.0,3.3333333333333335,134,175,3,6,232.0,287.0,2.0,2
1289,1,1,1,4.0,7.6,160,160,1,1,47.0,47.0,1.0,4
1290,1,1,1,1.0,3.7,134,134,1,7,193.0,193.0,2.0,2
1291,1,4,4,1.25,2.5999999999999996,90,200,3,1,259.0,357.0,3.0,1
1292,1,1,1,1.0,2.1,175,175,1,7,312.0,312.0,1.0,3
1293,1,1,1,2.0,10.8,175,175,1,5,361.0,361.0,2.0,2
1294,1,1,1,1.0,3.0,175,175,1,7,325.0,325.0,2.0,2
1297,1,1,1,2.0,7.8,150,150,1,1,37.0,37.0,3.0,1
1298,1,3,3,1.6666666666666667,4.3,160,300,3,2,75.0,165.0,3.0,1
1303,1,1,1,2.0,6.6,175,175,1,1,156.0,156.0,3.0,1
1305,1,2,2,1.0,5.7,330,330,2,1,128.0,279.0,2.0,4
1306,1,1,1,1.0,4.4,175,175,1,7,114.0,114.0,2.0,2
1307,1,3,3,2.0,4.066666666666666,160,175,2,4,47.0,232.0,2.0,4
1308,1,1,1,1.0,5.4,175,175,1,1,297.0,297.0,3.0,1
1310,1,1,1,1.0,2.6,150,150,1,5,229.0,229.0,2.0,2
1312,1,1,1,1.0,3.0,175,175,1,5,333.0,333.0,3.0,2
1313,1,4,4,1.25,4.125,165,175,4,1,3.0,215.0,2.0,4
1314,1,2,2,1.0,2.35,175,175,2,1,137.0,225.0,2.0,4
1317,1,1,1,1.0,4.4,170,170,1,6,267.0,267.0,1.0,3
1318,1,4,4,1.5,6.45,175,300,4,3,87.0,343.0,3.0,1
1320,1,2,2,1.0,4.15,134,150,2,1,75.0,225.0,1.0,4
1324,1,1,1,2.0,3.4,175,175,1,1,350.0,350.0,2.0,4
1326,1,2,2,1.5,5.55,150,175,2,7,216.0,231.0,3.0,2
1327,1,2,2,1.5,7.8,175,300,2,7,32.0,211.0,3.0,0
1330,1,3,3,1.0,3.266666666666667,134,175,3,7,194.0,339.0,1.0,3
1333,1,1,1,1.0,4.4,175,175,1,3,280.0,280.0,2.0,4
1335,1,2,2,1.0,3.0,134,220,2,1,219.0,328.0,2.0,4
1336,1,2,2,1.0,2.8,150,170,2,7,3.0,333.0,2.0,0
1337,1,1,1,2.0,5.2,150,150,1,7,144.0,144.0,3.0,2
1338,1,1,1,1.0,2.7,150,150,1,1,132.0,132.0,3.0,1
1339,1,1,1,1.0,2.7,150,150,1,6,177.0,177.0,1.0,3
1341,1,1,1,1.0,1.9,200,200,1,2,333.0,333.0,3.0,1
1342,1,1,1,1.0,4.4,170,170,1,7,48.0,48.0,3.0,2
1343,1,1,1,2.0,2.9,170,170,1,4,41.0,41.0,2.0,2
1345,1,2,2,1.0,3.35,134,175,2,5,191.0,285.0,3.0,2
1346,1,3,3,1.3333333333333333,5.533333333333334,150,175,3,1,54.0,299.0,3.0,1
1347,1,1,1,1.0,2.9,170,170,1,7,207.0,207.0,3.0,2
1348,1,2,2,1.0,3.0,150,175,2,4,109.0,241.0,2.0,2
1349,1,2,2,1.5,4.55,170,190,2,5,70.0,97.0,2.0,2
1350,1,2,2,1.0,2.95,110,175,2,6,84.0,339.0,2.0,2
1351,1,1,1,1.0,2.6,300,300,1,1,248.0,248.0,2.0,4
1352,1,1,1,1.0,4.6,150,150,1,5,354.0,354.0,3.0,2
1353,1,2,2,1.5,6.5,110,175,2,1,201.0,356.0,3.0,1
1354,1,2,2,1.5,3.45,175,300,2,5,16.0,134.0,2.0,0
1355,1,1,1,1.0,2.7,150,150,1,4,346.0,346.0,1.0,3
1356,1,1,1,1.0,2.7,150,150,1,6,32.0,32.0,1.0,3
1357,1,3,3,1.3333333333333333,5.066666666666666,134,270,3,5,36.0,287.0,2.0,0
1358,1,1,1,1.0,3.3,175,175,1,6,210.0,210.0,3.0,2
1359,1,1,1,1.0,3.0,165,165,1,1,192.0,192.0,3.0,1
1360,1,3,3,1.0,4.7,110,330,3,1,29.0,274.0,3.0,1
1361,1,1,1,1.0,3.7,134,134,1,7,53.0,53.0,2.0,2
1362,1,1,1,1.0,5.4,175,175,1,6,238.0,238.0,3.0,2
1363,1,1,1,1.0,3.8,110,110,1,2,26.0,26.0,2.0,4
1364,1,3,3,1.3333333333333333,3.1999999999999997,175,300,2,7,56.0,300.0,1.0,3
1365,1,2,2,1.0,3.8,165,270,2,7,120.0,152.0,3.0,2
1366,1,1,1,1.0,1.9,200,200,1,4,362.0,362.0,1.0,3
1367,1,3,3,1.3333333333333333,5.7,150,330,2,6,41.0,70.0,2.0,2
1369,1,3,3,1.0,3.266666666666667,110,175,3,3,77.0,237.0,1.0,4
1370,1,1,1,1.0,1.5,300,300,1,3,200.0,200.0,2.0,4
1373,1,1,1,1.0,3.1,180,180,1,6,282.0,282.0,2.0,2
1374,1,2,2,1.0,3.25,150,160,2,4,246.0,251.0,1.0,3
1375,1,1,1,1.0,3.0,175,175,1,5,320.0,320.0,1.0,3
1376,1,3,2,1.6666666666666667,4.033333333333334,134,175,2,7,89.0,212.0,3.0,2
1377,1,2,2,1.0,2.45,180,190,2,5,258.0,298.0,1.0,3
1378,1,1,1,1.0,4.4,175,175,1,5,236.0,236.0,1.0,3
1380,1,4,4,1.5,6.025,165,300,4,1,4.0,333.0,1.0,4
1383,1,2,2,1.5,6.4,134,175,2,1,226.0,333.0,3.0,1
1384,1,1,1,1.0,3.0,175,175,1,1,363.0,363.0,2.0,4
1385,1,2,1,1.5,4.949999999999999,175,175,1,1,268.0,324.0,2.0,4
1386,1,1,1,2.0,4.2,175,175,1,5,100.0,100.0,3.0,2
1390,1,1,1,1.0,2.3,220,220,1,2,297.0,297.0,1.0,4
1392,1,2,2,1.0,3.0,175,175,1,2,15.0,142.0,2.0,4
1394,1,1,1,1.0,4.4,175,175,1,1,183.0,183.0,3.0,1
1395,1,1,1,2.0,5.8,170,170,1,4,85.0,85.0,2.0,2
1396,1,1,1,1.0,2.7,150,150,1,4,144.0,144.0,1.0,3
1397,1,1,1,1.0,1.7,90,90,1,1,232.0,232.0,3.0,1
1399,1,1,1,1.0,1.9,200,200,1,4,213.0,213.0,1.0,3
1400,1,2,2,1.0,3.6500000000000004,134,210,2,7,256.0,285.0,1.0,3
1401,1,2,2,1.5,2.8499999999999996,200,200,1,3,23.0,31.0,1.0,4
1402,1,3,3,1.3333333333333333,5.433333333333334,150,170,3,1,0.0,354.0,3.0,1
1403,1,2,2,1.0,3.1500000000000004,150,210,2,2,11.0,234.0,2.0,4
1404,1,1,1,1.0,1.9,160,160,1,5,319.0,319.0,3.0,2
1406,1,2,2,1.0,2.8,134,200,2,5,11.0,249.0,1.0,3
1407,1,1,1,1.0,5.4,175,175,1,4,184.0,184.0,3.0,2
1408,1,1,1,1.0,1.9,160,160,1,7,7.0,7.0,3.0,2
1409,1,2,2,1.0,3.7,180,250,2,1,54.0,177.0,3.0,1
1410,1,1,1,2.0,6.0,175,175,1,7,188.0,188.0,2.0,2
1411,1,4,4,1.0,3.625,170,175,4,4,118.0,335.0,2.0,4
1412,1,1,1,2.0,5.4,150,150,1,6,336.0,336.0,3.0,2
1413,1,2,2,1.5,4.2,150,165,1,6,71.0,259.0,2.0,2
1414,1,3,3,1.0,2.8666666666666667,90,175,3,7,78.0,363.0,3.0,0
1415,1,1,1,1.0,3.3,175,175,1,1,121.0,121.0,3.0,1
1417,1,2,2,1.5,4.800000000000001,150,165,2,1,301.0,322.0,3.0,1
1418,1,1,1,1.0,4.6,150,150,1,4,241.0,241.0,1.0,3
1419,1,3,3,1.3333333333333333,5.833333333333333,150,330,3,2,235.0,290.0,2.0,4
1420,1,1,1,1.0,3.3,175,175,1,6,106.0,106.0,3.0,2
1421,1,1,1,1.0,2.6,150,150,1,1,20.0,20.0,1.0,4
1422,1,1,1,1.0,5.1,300,300,1,4,68.0,68.0,3.0,2
1423,1,3,3,1.0,3.6999999999999997,110,150,3,1,86.0,335.0,3.0,1
1424,1,1,1,1.0,1.7,90,90,1,7,43.0,43.0,2.0,2
1425,1,1,1,1.0,4.6,150,150,1,1,341.0,341.0,3.0,1
1429,1,1,1,2.0,8.8,170,170,1,1,278.0,278.0,2.0,4
1430,1,1,1,1.0,4.4,170,170,1,2,276.0,276.0,1.0,4
1431,1,1,1,1.0,4.6,150,150,1,7,271.0,271.0,2.0,2
1433,1,1,1,1.0,2.7,150,150,1,3,21.0,21.0,2.0,4
1434,1,2,2,1.5,5.3500000000000005,160,170,2,1,234.0,272.0,3.0,1
1436,1,1,1,1.0,3.8,110,110,1,2,306.0,306.0,1.0,4
1437,1,1,1,1.0,1.9,160,160,1,3,209.0,209.0,1.0,4
1438,1,1,1,1.0,3.6,210,210,1,3,241.0,241.0,3.0,1
1439,1,1,1,1.0,4.4,175,175,1,2,115.0,115.0,1.0,4
1440,1,1,1,1.0,2.9,170,170,1,7,357.0,357.0,3.0,2
1443,1,2,2,1.0,2.8,150,175,1,2,17.0,169.0,2.0,4
1444,1,3,3,1.0,2.433333333333333,150,175,2,1,5.0,310.0,3.0,1
1446,1,1,2,2.0,8.3,134,150,2,6,10.0,10.0,1.0,3
1448,1,2,2,1.0,4.0,170,210,2,6,156.0,286.0,2.0,2
1450,1,2,2,1.5,6.25,134,300,2,1,234.0,344.0,3.0,1
1451,1,2,2,1.0,4.35,175,330,2,4,3.0,132.0,3.0,1
1452,1,2,2,1.5,6.550000000000001,134,330,2,6,171.0,228.0,2.0,0
1453,1,1,1,2.0,6.0,175,175,1,1,10.0,10.0,1.0,4
1454,1,1,1,1.0,4.3,250,250,1,5,105.0,105.0,3.0,2
1455,1,3,3,1.3333333333333333,5.666666666666667,134,175,3,1,68.0,247.0,3.0,1
1456,1,3,3,1.3333333333333333,5.800000000000001,135,175,3,6,54.0,105.0,2.0,2
1457,1,2,2,1.0,2.85,150,175,2,1,67.0,297.0,2.0,4
1459,1,3,3,1.6666666666666667,7.400000000000001,150,175,3,6,1.0,139.0,2.0,2
1460,1,3,3,2.3333333333333335,5.966666666666666,150,300,3,1,50.0,320.0,1.0,4
1461,1,1,1,1.0,1.9,160,160,1,7,47.0,47.0,3.0,2
1462,1,1,1,2.0,3.8,200,200,1,1,356.0,356.0,1.0,4
1463,1,1,1,1.0,5.1,300,300,1,7,140.0,140.0,3.0,2
1464,1,2,2,1.5,7.1000000000000005,175,175,2,6,129.0,208.0,2.0,2
1465,1,1,1,2.0,6.0,165,165,1,1,98.0,98.0,3.0,1
1467,1,1,1,1.0,2.6,150,150,1,5,302.0,302.0,3.0,2
1468,1,1,1,1.0,3.7,134,134,1,1,112.0,112.0,2.0,4
1470,1,3,3,1.3333333333333333,4.2,125,175,3,6,12.0,302.0,3.0,0
1471,1,1,1,1.0,4.4,170,170,1,2,337.0,337.0,3.0,1
1473,1,2,2,1.0,3.6,165,175,2,7,144.0,181.0,3.0,2
1474,1,1,1,1.0,1.7,175,175,1,6,169.0,169.0,2.0,2
1475,1,1,1,1.0,5.7,330,330,1,4,111.0,111.0,2.0,2
1477,1,2,2,1.0,4.4,135,270,2,6,137.0,155.0,1.0,3
1478,1,1,1,1.0,6.5,380,380,1,1,140.0,140.0,2.0,4
1480,1,2,2,1.0,3.3499999999999996,125,150,2,5,67.0,113.0,1.0,3
1482,1,2,2,1.0,3.3499999999999996,110,170,2,1,258.0,364.0,3.0,1
1484,1,2,2,1.0,3.6500000000000004,134,210,2,1,17.0,203.0,2.0,4
1485,1,1,1,1.0,3.0,175,175,1,4,212.0,212.0,1.0,3
1486,1,1,1,1.0,2.6,300,300,1,6,199.0,199.0,2.0,2
1487,1,3,3,1.6666666666666667,4.966666666666667,134,300,3,1,66.0,225.0,2.0,4
1488,1,1,1,1.0,4.6,150,150,1,5,267.0,267.0,2.0,2
1489,1,2,2,1.5,3.25,175,220,2,7,44.0,132.0,2.0,2
1490,1,2,2,1.5,6.85,150,380,2,1,228.0,267.0,3.0,1
1491,1,1,1,1.0,4.6,270,270,1,4,70.0,70.0,2.0,2
1494,1,1,1,1.0,1.7,90,90,1,1,195.0,195.0,2.0,4
1495,1,1,1,1.0,2.6,150,150,1,4,178.0,178.0,2.0,2
1501,1,5,5,1.4,5.140000000000001,135,175,4,7,34.0,327.0,3.0,0
1502,1,2,2,1.5,3.2,134,150,2,2,316.0,340.0,3.0,1
